ID,TL_mm,weight,sex,area,capt_date,age,cohort,year,inc_um,rad_um,core,OH,d18O,sims_dist,"Sr[, 2]"
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,3,275.1,1103.3,228.5,0.0389,-7.8446717,852.1431805,0.00216452991452991
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,3,275.1,1103.3,228.5,0.0404,-8.5139786,887.257009,0.00219076923076923
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,3,275.1,1103.3,228.5,0.041,-8.6400799,922.3708582,0.00204222222222222
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,3,275.1,1103.3,228.5,0.0434,-8.9989836,957.4847257,0.00209286324786325
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,3,275.1,1103.3,228.5,0.0436,-9.2414861,992.5986097,0.00189666666666667
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,3,275.1,1103.3,228.5,0.0436,-9.1735854,1027.712508,0.00180944444444444
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,3,275.1,1103.3,228.5,0.0385,-6.7970609,1062.82642,0.00178811965811966
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,3,275.1,1103.3,228.5,0.0361,-5.6524491,1097.940344,0.00226290598290598
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,4,194.2,1297.5,228.5,0.039,-8.3975774,1133.054279,0.00232794871794872
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,4,194.2,1297.5,228.5,0.0386,-8.1550749,1168.168224,0.00215918803418803
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,4,194.2,1297.5,228.5,0.0406,-7.2432655,1203.282178,0.00203564102564103
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,4,194.2,1297.5,228.5,0.0368,-7.2529656,1238.39614,0.0023867094017094
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,4,194.2,1297.5,228.5,0.0352,-6.3993568,1273.51011,0.00223897435897436
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,5,225.3,1502.8,228.5,0.0373,-6.8940619,1308.624087,0.00214790598290598
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,5,225.3,1502.8,228.5,0.0374,-6.6321592,1343.73807,0.00211888888888889
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,5,225.3,1502.8,228.5,0.0372,-8.2423758,1378.852059,0.00227833333333333
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,5,225.3,1502.8,228.5,0.036,-7.1268643,1413.966053,0.00266410256410256
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,5,225.3,1502.8,228.5,0.0355,-6.2635554,1448.740833,0.00247534188034188
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,5,225.3,1502.8,228.5,0.0371,-5.933752,1483.516094,0.0027276923076923
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,6,184.6,1667.4,228.5,0.0353,-8.4266777,1518.291803,0.00322675213675214
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,6,184.6,1667.4,228.5,0.0349,-7.5924691,1553.067932,0.00295923076923077
BH-00392,930,5600,f,Barthe,2019-07-11,7,2012,6,184.6,1667.4,228.5,0.0361,-6.6224591,1587.844451,0.00285205128205128
